m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
698.478	PC	(10:0/20:4)	6.63853181757606e-05	5.63418689795031e-05	5.40350601620893e-05	5.83279275980833e-05	0.000187562481477973	0.000178566726311576	0.000182017292762616	6.82668127726269e-07	0.000109145658726246	-1.63638478042097
852.553	PC	(18:2/22:6)	0.00729538935442139	0.00658842275095159	0.00671415469439009	0.00690653186097953	0.0167094517548804	0.0137457071075935	0.0149368739704069	0.00899592549736732	0.0140990686886011	-1.13780899208546
714.5094	PC	(11:0/20:3)	0.000600688738426018	0.000614160900457346	0.000631131690778945	0.00052802198103368	0.000486182491468352	0.000561921974156719	0.000581476492462617	0.241703570907945	0.268490306859084	0.127783420236535
846.6009	PC	(19:1/22:6)	0.00798740717254726	0.00800023470920261	0.00617603741925056	0.00702949991313449	0.0115590787842595	0.0144346430202145	0.0138757305492323	0.00896378715441322	0.0140990686886011	-0.864689955222329
728.5242	PC	(14:0/18:3)	0.00547493835718101	0.00520812489995063	0.0056780624910858	0.00540058085165323	0.0104366594215276	0.0097894080096945	0.00988988453767593	0.00028745907494231	0.00140789615113791	-0.883773662410824
678.5084	PC	(16:0/12:0)	0.00603637061778482	0.00750066000729826	0.00390594979239515	0.00683297783235582	0.0228484570370003	0.0284921601843207	0.0262589859786997	0.00190054918726225	0.00430174893089898	-2.09155853002995
822.603	PC	(19:1/20:4)	0.0175161988322661	0.0184028093362807	0.0185511596954812	0.0182929506013665	0.0160637359313563	0.0152885467922272	0.0154429817161092	0.000685742870649465	0.00220562611202675	0.221807335564812
828.5547	PC	(18:3/22:6)	0.0199936277818196	0.0206033355851516	0.0248118334022646	0.0205471882766488	0.0353076759115027	0.0202744826389705	0.0222822594860501	0.445161514570189	0.473739784641362	-0.272403608085661
888.6513	PC	(22:1/22:6)	0.00159540938056883	0.00205673958983403	0.00142784176752893	0.0016786102428144	0.00269726519882581	0.00380861950664658	0.00391006531999443	0.033118943073145	0.0431754301547694	-1.03903538399554
814.5764	PC	(18:3e/22:6)	0.000473003664592716	0.000444635556518335	0.00126910593458092	0.000562049124737878	0.000933975872468467	0.000610018418161083	0.000658973595803649	0.8400941650405	0.855982470762306	-0.0956870240175521
730.5401	PC	(16:1/16:1)	0.0519046793221893	0.0552009601331516	0.0556545633416552	0.0587493520972599	0.117783482129814	0.103175314176542	0.108798189758299	0.00304417752492813	0.00588358974548889	-0.989071791995008
808.5861	PC	(16:0/22:5)	0.729886667917045	0.798788151285365	0.694650472336264	0.769386498479372	0.376633840803854	0.371458813340203	0.369371981654349	0.000442275004834519	0.00167210988669893	1.00618667358684
860.618	PC	(20:1/22:6)	0.0471213090568467	0.0489003283765795	0.0474114617669353	0.0465294646120319	0.0635556125146766	0.0731042201572383	0.0781630514949071	0.0286895577416154	0.0385208703633527	-0.592470052303878
818.6074	PC	(18:1e/22:6)	0.0101065705589965	0.0104617105288377	0.013273724393636	0.0108195670119229	0.0133561888286949	0.0153364444614834	0.0159390633307626	0.0196847679432305	0.027105862567196	-0.414072101213237
